animal_id,animal_name,gender,age,shelter_id,bio,breed_id,color,size,medical_id
39543057,Trina,Female,Young,4,"Trina is so pretty, with her gold eyes and double paws. Very affectionate.",Domestic Short Hair,Smoke,Medium,none
39542989,Stalone,Male,Baby,4,,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,none
39542896,Sylvester,Male,Baby,4,"Sylvester is 5 months old.
He loves to play and loves attention. 
Very sweet boy.",Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,none
44346956,Kwahu,Male,Young,5,You can fill out an adoption application online on our official website.friendly high energyYee-Ha I&amp;#39;m Kwahu! I&amp;#39;m an energetic older...,Domestic Short Hair,Orange & White,Medium,none
44330432,Mr. Meowington,Male,Young,5,"You can fill out an adoption application online on our official website.get more details after dr appt - 5lbs, 6oz...",Domestic Medium Hair,Gray / Blue / Silver,Medium,none
44240883,Gray Jay,Male,Young,5,You can fill out an adoption application online on our official website.Hi I am Gray Jay and I would love...,Domestic Short Hair,,Medium,none
44240884,Vireo,Female,Baby,5,You can fill out an adoption application online on our official website.Hi I am Vireo and I would love to...,Domestic Short Hair,,Medium,none
44240885,Miss Purrington,Female,Young,5,"You can fill out an adoption application online on our official website.Miss Purrington is a 9 month old kitten, black...",Domestic Short Hair,Black & White / Tuxedo,Medium,none
44232882,Joanne,Female,Young,5,"You can fill out an adoption application online on our official website.I&amp;rsquo;m Joanne &amp;ndash; a shy, gentle, friendly, sweet &amp;ldquo;teenage&amp;rdquo;...",Domestic Short Hair,Black & White / Tuxedo,Medium,none
44232881,Boeing,Male,Adult,5,"You can fill out an adoption application online on our official website.Boeing was adopted from PAWS and returned, with his...",Domestic Short Hair,Gray & White,Large,none
44232880,Piper 2,Male,Adult,5,"You can fill out an adoption application online on our official website.Piper2 was adopted from PAWS and returned, with his...",Domestic Short Hair,White,Large,none
44177407,Redford,Male,Young,5,You can fill out an adoption application online on our official website.I am young male tiger boy who was found...,Domestic Medium Hair,Orange / Red,Medium,none
44177406,Habibi,Female,Adult,5,You can fill out an adoption application online on our official website.Habibi is Arabic for friend or beloved. I will...,Domestic Short Hair,Black & White / Tuxedo,Large,none
44149431,Piper,Female,Baby,5,You can fill out an adoption application online on our official website.Piper is a gray kitten sporting strips on her...,Tiger,Gray / Blue / Silver,Small,none
44126064,Koda,Female,Adult,5,"You can fill out an adoption application online on our official website.Koda is a sweet, beautiful little girl who loves...",Domestic Medium Hair,,Medium,none
44126070,Persimmon,Male,Baby,5,You can fill out an adoption application online on our official website.,Domestic Short Hair,Black & White / Tuxedo,Medium,none
44126065,Macarena,Female,Adult,5,You can fill out an adoption application online on our official website.My name is Macarena and I&amp;#39;m ready to boogie...,Domestic Short Hair,,Medium,none
44126068,Zinnia,Female,Adult,5,You can fill out an adoption application online on our official website.What a surprise when the fire department got called...,Domestic Medium Hair,Gray & White,Medium,none
44126066,Samba,Male,Young,5,"You can fill out an adoption application online on our official website.Step to the left, twirl to the right. I...",Domestic Short Hair,Orange & White,Medium,none
44126067,Rumba,Male,Young,5,"You can fill out an adoption application online on our official website.Rumba, Roomba, Zumba - it&amp;#39;s all the same to...",Domestic Short Hair,Black & White / Tuxedo,Medium,none
44126069,Daffodil,Female,Young,5,You can fill out an adoption application online on our official website.,Domestic Short Hair,,Medium,none
44116724,Raisin Bran,Female,Young,5,You can fill out an adoption application online on our official website.Raisin Bran and Cocoa Krispies? Might be a little...,Domestic Short Hair,Black,Small,none
44116725,Cocoa Krispies,Female,Young,5,You can fill out an adoption application online on our official website.Raisin Bran and Cocoa Krispies? Might be a little...,Domestic Short Hair,Black,Small,none
44333934,ZEB,Male,Adult,7,"Zeb is his name and is short for Zebadiah, which is (Hebrew) that means &quot;the Lord&#039;s gift&quot;. His name perfectly...",Domestic Short Hair,Gray & White,Medium,none
44252476,JILL,Female,Baby,7,"Jill is her name and it is (Greek), which means &quot;youthful.&quot; Feminine of Julia. She is a short hair cat...",Calico,White,Medium,none
44038641,GERTI,Female,Baby,7,"There is something very captivating about Calico and Tortoiseshell cats. Their beautiful coloring and markings are exquisite, which makes them...",Tortoiseshell,Tortoiseshell,Medium,none
43998709,MARY,Female,Young,7,"Mary Mary quite contrary. Very very pretty, petite, dainty, gorgeous markings, keeps herself immaculate and is unpredictable. She looks like...",Domestic Short Hair,Tabby (Gray / Blue / Silver),Small,none
43945841,MAXWELL,Male,Adult,7,"Maxwell is a very handsome orange and white short hair cat. He is lovable, friendly, laid-back, curious, and vocal. He...",Domestic Short Hair,Orange & White,Large,none
43905429,SMITTY,Male,Adult,7,"Smitty Knows he looks like a prize fighter that lost his boxing match, but life on the streets is a...",Domestic Short Hair,White,Large,none
43826303,DIA,Female,Baby,7,"If you favor tiger cats, you don&#039;t have to go very far. Dia is a perfect gorgeous classic brown tabby...",Tiger,Tabby (Tiger Striped),Small,none
43819502,MURPHY,Male,Adult,7,Murphy is a large blue/gray/silver short hair handsome dude. He was a stray and must of been on his own...,Domestic Short Hair,Gray / Blue / Silver,Large,none
43766168,LILLY,Female,Adult,7,"There is a flower called a tiger lily. We have a cat, who is a tiger and named Lilly. She...",Tiger,Tabby (Tiger Striped),Medium,none
43681786,KITTY,Female,Young,7,We have a kitty in the shelter named KITTY. She is a lovely silver/blue/gray and white tabby. She has a...,Domestic Short Hair,Gray / Blue / Silver,Small,none
43621177,STREUSEL & KRISP (littens),Female,Baby,7,"Streusel and Krisp are two absoluety adorable bonded sibling kittens. They are healthy active, curious, and playful kitties. They are...",Domestic Short Hair,Black & White / Tuxedo,Small,none
43616487,CRUMBLES & TOAST (kittens),Male,Baby,7,"Crumbles and Toast are two absoluety adorable bonded sibling kittens. They are healthy active, curious, and playful kitties. They are...",Domestic Short Hair,Black,Small,none
43529973,SABRINA & SNOOPY (kittens),Female,Baby,7,"Sabrina and Snoopy are two sibling three or four months old kittens. They are in excellent condition, tested negative for...",Domestic Short Hair,Black,Small,none
43418925,QUINCY,Male,Young,7,Are you looking for a handsome black and white short hair perfect tuxedo cat that would so appreciate a forever...,Tuxedo,Black & White / Tuxedo,Medium,none
43319168,Gi Gi,Female,Adult,7,Beautiful beautiful GiGi is a truly lovely medium hair dilute Tortoiseshell. Her coloring is very soft to the eye and...,Dilute Tortoiseshell,Dilute Tortoiseshell,Medium,none
43207477,Eeyore,Male,Young,7,The name Eeyore is one of the characters from the childrens book &quot;Winny The Poo&quot;. Eeyore is a donkey and...,Tabby,Tabby (Orange / Red),Medium,none
43101257,HERBIE,Male,Young,7,Everybody loves a lover and Herbie is a lover. He is a short hair black and white tuxedo cat already...,Tuxedo,Black & White / Tuxedo,Medium,none
43028017,SADIE,Female,Adult,7,"Meet Sadie. Her owner passed away and she is looking for her new forever home.

She’s an 11 year old...",Tortoiseshell,Tortoiseshell,Medium,none
43022276,HUNTER,Female,Young,7,"Hunter was a stray rescued into the shelter and that was the name given to her. Apparently, she was a...",Tabby,Tabby (Brown / Chocolate),Medium,none
43022191,MIA,Female,Young,7,Mia is a petite little cat with really big sea green Bette Davis eyes. Her eyes are almost bigger than...,Domestic Medium Hair,Gray / Blue / Silver,Small,none
44323139,Angie,Female,Young,8,Angie is a two year-old girl who was probably abandoned. She was very scared when rescued and would hide in...,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,none
44265337,Princess,Female,Young,8,"Princess is a beautiful, healthy 2 year-old cat looking for her own family to love and be loved by. She’s...",Domestic Short Hair,,Medium,none
43693819,Cirrus,Male,Young,8,"Cirrus is a very active 8-10 month old gray tabby short-haired cat. This talkative boy is friendly, playful and energetic....",Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,none
43523170,Fritzy & Fonzy,Male,Baby,8,"Fritzy and Fonzy are two adorable black &amp; white kittens, about 6 months old. They were found on the street...",Domestic Short Hair,Black & White / Tuxedo,Medium,none
43041641,Lucy,Female,Young,8,My name is Lucy and my four babies and I were rescued by The Cat Connection. My babies have all...,Domestic Short Hair,Gray & White,Small,none
42966237,Marty,Male,Adult,8,"Marty is a very friendly, sweet and curious four year-old. He purrs a lot and really likes to be around...",Domestic Short Hair,Black & White / Tuxedo,Large,none
42859000,Nickle & Nora,Male,Baby,8,Meet Nickle and Nora -  This brother and sister duo are the cat&#039;s meow. Nickle is a medium to long...,Domestic Short Hair,Tabby (Orange / Red),Medium,none
42782099,Nicky,Female,Young,8,Nicky is a little over a year but looks like a kitten. She was only 5 lbs when we found...,Domestic Short Hair,Calico,Small,none
42635394,Caleb,Male,Adult,8,"Caleb is a sweet and very beautiful male Maine Coon, about 3-4 years old. He’s still a little unsure with...",Domestic Long Hair,,Large,none
42635392,G kittens,Male,Baby,8,Meet the G kittens ... these beautiful 12 week-old medium to long haired sibling kittens are ready for their forever...,Domestic Medium Hair,Black,Medium,none
42475041,"Larry, Linus, Leibs & Lynne",Male,Baby,8,"Meet Linus, Larry, Liebs and Lynne — these three brothers and a sister are now ready for their forever home....",Domestic Short Hair,Tabby (Tiger Striped),Medium,none
42474958,Bailey & Beans,Female,Baby,8,"Meet Bailey &amp; Beans. These two sweet sisters started out as very scared kittens rescued off the street, and are...",Domestic Short Hair,Tabby (Tiger Striped),Medium,none
42363705,Roger & Fancy,Female,Baby,8,"These 14 week-old kitties would do best in a home with cat-savvy kids or adults only. 

Fancy came to her...",Domestic Short Hair,Black,Medium,none
42363680,Ralph & Reggie,Male,Baby,8,"These 14 week-old kitties would do well in a home with a forever family of any kind, including fur or...",Domestic Short Hair,Black,Medium,none
42281378,Hercules & Homer,Male,Baby,8,This sweet 14 week old brother/sister duo are simply too cute for words...so take a look at their pictures and...,Domestic Long Hair,,Medium,none
42280844,Olivia,Female,Adult,8,Olivia is a small grey &amp; white tabby. She is a sweet little girl who likes to rub against people’s...,Domestic Short Hair,Gray & White,Small,none
42091100,Hawkeye,Male,Adult,8,Hawkeye is a large male 3 year-old cat with long grey hair that has splashes of orange. He has a...,Domestic Long Hair,Dilute Tortoiseshell,Large,none
42061549,Chloe,Female,Adult,8,Chloe is a 2 yr old medium/long haired brown tabby with white spots. She weighs 9.5 lbs. She is very...,Domestic Medium Hair,,Medium,none
41882780,Felix,Male,Senior,8,"Felix is a sweet 10 year-old orange &amp; white cat, and you will love him the minute you see him!...",Domestic Short Hair,Orange & White,Large,none
41674352,William,Male,Young,8,"William is a medium haired light orange/ buff tabby. He is a very sweet, loving and playful cat, on the...",Domestic Medium Hair,Buff / Tan / Fawn,Medium,none
44325054,Jasmine,Female,Adult,9,Jasmine is a sweet eight year old female that was surrendered when her family could no longer care for her....,Domestic Short Hair,Black,Medium,none
44325053,Dizzy,Male,Adult,9,Seven year old Dizzy was surrendered to PALS when his family could no longer care for him. He is a...,Tuxedo,Black & White / Tuxedo,Medium,none
44282652,Rusty,Male,Senior,9,Handsome Rusty was found wandering the street and hungry. He was picked up by animal control. Rusty is ten years...,Domestic Short Hair,Orange / Red,Medium,none
44282650,Ollie,Female,Adult,9,Ollie was rescued as part of a group of two moms and several kittens some of which we believe were...,Domestic Short Hair,Gray & White,Medium,none
44365000,Piper,Female,Young,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Piper, a loving...",Australian Shepherd,Brindle,Medium,none
44350216,Emmitt,Male,Young,11,"**Please read Emmett&#039;s entire profile, which includes a link to the adoption application. Thank you!** 

Hello there, I&#039;m Emmet, a...",Hound,"Tricolor (Brown, Black, & White)",Medium,none
44349956,Tucker - local boy,Male,Senior,11,"**Please read Tucker&#039;s entire profile, which includes a link to the adoption application. Thank you!** 

Meet Tucker - a 12...",Wheaten Terrier,White / Cream,Small,none
44349903,Kota,Male,Adult,11,"**Please read Kota&#039;s entire profile, which includes a link to the adoption application. Thank you!** 

Meet Kota, a 5-6 year...",German Shepherd Dog,Bicolor,Large,none
44349900,Emma,Female,Young,11,"**Please read Emma&#039;s entire profile, which includes a link to the adoption application. Thank you!** 

Meet Emma - an 18...",Australian Kelpie,Black,Medium,none
44349896,Louie - local pup,Male,Young,11,"**Please read Louie&#039;s entire profile, which includes a link to the adoption application. Thank you!** 

Meet Louie - a 2...",Beagle,White / Cream,Small,none
44339054,Barney,Male,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Bart. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44339031,Skinner,Male,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Bart. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44338992,Selma,Female,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Selma. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44338979,Nelson,Male,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Nelson. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44338969,Marge,Female,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Marge. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44338920,Lisa,Female,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Lisa. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44338897,Ned,Male,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Ned. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44338886,Millhouse,Male,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Millhouse. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44338874,Homer,Male,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Homer. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44338867,Cathy,Female,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Cathy. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44337203,Bart,Male,Baby,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Bart. I&#039;m a...",Dachshund,Yellow / Tan / Blond / Fawn,Small,none
44335620,Bella Mason,Female,Young,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Bella Mason and...",Jack Russell Terrier,Harlequin,Small,none
44334262,Mindy,Female,Senior,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 

Good morning, Let me introduce...",Hound,Golden,Large,none
44334143,Marley,Female,Young,11,"**Please read ***&#039;s entire profile, which includes a link to the adoption application. Thank you!** 
Hi, I&#039;m Marley, a Labador...",Labrador Retriever,Golden,Large,none
44357507,Harvey,Male,Young,12,"You can fill out an adoption application online on our official website.Please contact PittieLove Rescue, Inc. (info@pittieloverescue.org) for more information...",Pit Bull Terrier,,Medium,none
44332279,Tom Brady n/ Apache,Male,Baby,12,You can fill out an adoption application online on our official website.Adoption Fee: $400&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44313809,Donnie,Male,Adult,12,You can fill out an adoption application online on our official website.Adoption Fee: $325&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44296452,Dont'a Hightower n/ Gepetto,Male,Baby,12,You can fill out an adoption application online on our official website.Adoption Fee: $400&amp;#10;&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44259152,Benjamin Button,Male,Young,12,You can fill out an adoption application online on our official website.Adoption Fee: $325&amp;#10;&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44259153,Joy n/Jolene,Female,Baby,12,You can fill out an adoption application online on our official website.Adoption Fee: $400&amp;#10;&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44251861,Julian Edelman n/ Nico,Male,Baby,12,You can fill out an adoption application online on our official website.Adoption Fee: $400&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44224543,Betty,Female,Young,12,"You can fill out an adoption application online on our official website.&amp;#10;PittieLove Rescue, Inc. a 501c3 orgainization is an all-volunteer,...",Pit Bull Terrier,,Medium,none
44213439,Kiwi,Female,Young,12,You can fill out an adoption application online on our official website.Adoption Fee: $325&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44198939,Tuna n/ Lola,Female,Senior,12,You can fill out an adoption application online on our official website.Adoption Fee: $325&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44153662,Jingle,Male,Baby,12,You can fill out an adoption application online on our official website.Adoption Fee: $400&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44098285,Sully n/ Dozer,Male,Young,12,You can fill out an adoption application online on our official website.Adoption Fee: $325&amp;#10;&amp;#10;Our information is current if you are...,Pit Bull Terrier,,Medium,none
44014661,Lillie,Female,Young,12,"You can fill out an adoption application online on our official website.&amp;#10;PittieLove Rescue, Inc. a 501c3 orgainization is an all-volunteer,...",Pit Bull Terrier,,Medium,none
